TARİX,"XÜSUSİ ÇƏKİ
(kq/m3)","TƏZYİQLƏR
FƏRQİ (kPa)",TƏZYİQ (kPa),"TEMPERATUR
(C)","SAATLIQ
SƏRF(min m3)",SƏRF (min m3)
12-01-2018 23:00,0.72846,12.6662,538.894,8.874,6.177,148.257
13-01-2018 00:00,0.72846,8.4402,563.537,8.753,5.167,124.008
13-01-2018 01:00,0.72846,7.9480,573.271,8.601,5.067,121.601
13-01-2018 02:00,0.72846,7.5613,586.474,8.543,5.001,120.023
13-01-2018 03:00,0.72846,7.6952,573.972,8.288,4.992,119.804
13-01-2018 04:00,0.72846,7.7678,565.842,8.166,4.980,119.525
13-01-2018 05:00,0.72846,7.8904,559.090,8.005,4.989,119.748
13-01-2018 06:00,0.72846,8.4421,541.130,7.964,5.071,121.701
13-01-2018 07:00,0.72846,9.5237,549.883,8.157,5.429,130.299
13-01-2018 08:00,0.72846,10.5524,548.394,8.102,5.702,136.847
13-01-2018 09:00,0.72846,11.1063,535.214,8.075,5.777,138.650
13-01-2018 10:00,0.72846,12.3089,525.446,8.204,6.017,144.419
13-01-2018 11:00,0.72846,12.8789,519.833,8.356,6.120,146.881
13-01-2018 12:00,0.73025,12.8326,522.513,8.394,6.118,146.824
13-01-2018 13:00,0.73129,13.0473,517.948,8.293,6.136,147.276
13-01-2018 14:00,0.73129,13.7844,507.159,8.301,6.236,149.675
13-01-2018 15:00,0.73129,14.0065,500.248,8.269,6.243,149.820
13-01-2018 16:00,0.73129,14.1179,496.519,7.979,6.246,149.905
13-01-2018 17:00,0.73129,14.6068,483.933,7.813,6.270,150.482
13-01-2018 18:00,0.73129,16.9522,475.218,7.752,6.682,160.377
13-01-2018 19:00,0.73129,17.5369,468.726,7.640,6.748,161.952
13-01-2018 20:00,0.73129,17.6385,464.964,7.636,6.739,161.737
13-01-2018 21:00,0.73129,17.3298,468.940,7.637,6.710,161.050
13-01-2018 22:00,0.73129,16.8995,475.696,7.752,6.676,160.226
13-01-2018 23:00,0.73129,16.1898,488.324,7.849,6.625,158.989
14-01-2018 00:00,0.73129,11.5863,518.914,7.819,5.759,138.214
14-01-2018 01:00,0.73129,9.5072,552.601,7.789,5.430,130.318
14-01-2018 02:00,0.73129,8.8773,568.920,7.721,5.329,127.908
14-01-2018 03:00,0.73129,8.8780,561.618,7.747,5.294,127.060
14-01-2018 04:00,0.73129,8.7184,566.523,7.742,5.270,126.487
14-01-2018 05:00,0.73129,8.9156,555.444,7.729,5.276,126.618
14-01-2018 06:00,0.73129,9.0440,549.759,7.802,5.285,126.828
14-01-2018 07:00,0.73129,11.8563,535.523,7.756,5.953,142.869
14-01-2018 08:00,0.73129,12.4085,511.822,7.896,5.953,142.879
14-01-2018 09:00,0.73129,12.9171,497.709,7.814,5.987,143.688
14-01-2018 10:00,0.73129,14.7116,489.340,7.990,6.325,151.806
14-01-2018 11:00,0.73129,14.5745,503.000,8.252,6.384,153.209
14-01-2018 12:00,0.73117,14.1541,517.811,8.551,6.384,153.219
14-01-2018 13:00,0.73114,13.7810,529.887,8.447,6.377,153.054
14-01-2018 14:00,0.73114,14.3675,509.981,8.323,6.384,153.212
14-01-2018 15:00,0.73114,14.9709,495.038,8.260,6.416,153.986
14-01-2018 16:00,0.73114,14.8405,500.877,8.227,6.428,154.270
14-01-2018 17:00,0.73114,14.7377,508.849,7.846,6.463,155.106
14-01-2018 18:00,0.73114,17.9340,509.532,7.966,7.113,170.714
14-01-2018 19:00,0.73114,18.5585,508.109,7.779,7.231,173.555
14-01-2018 20:00,0.73114,16.8788,511.613,7.895,6.921,166.107
14-01-2018 21:00,0.73114,16.4426,511.623,8.054,6.836,164.060
14-01-2018 22:00,0.73114,16.1573,514.511,8.146,6.796,163.107
14-01-2018 23:00,0.73114,15.1860,523.071,8.177,6.647,159.523
15-01-2018 00:00,0.73114,10.2332,555.998,8.152,5.629,135.105
15-01-2018 01:00,0.73114,8.9536,575.933,8.101,5.382,129.161
15-01-2018 02:00,0.73114,8.3203,589.258,8.125,5.251,126.025
15-01-2018 03:00,0.73114,8.2566,585.421,7.922,5.216,125.176
15-01-2018 04:00,0.73114,8.2445,581.601,7.851,5.196,124.694
15-01-2018 05:00,0.73114,8.3052,578.300,7.417,5.204,124.885
15-01-2018 06:00,0.73114,8.5250,571.575,7.298,5.240,125.769
15-01-2018 07:00,0.73114,11.8078,558.382,7.318,6.081,145.949
15-01-2018 08:00,0.73114,12.1910,548.184,7.540,6.119,146.858
15-01-2018 09:00,0.73114,12.5543,539.731,7.847,6.156,147.738
15-01-2018 10:00,0.73114,12.9483,531.846,7.858,6.203,148.868
15-01-2018 11:00,0.73114,10.8951,541.944,8.003,5.720,137.291
15-01-2018 12:00,0.73091,8.0975,569.168,8.367,5.088,122.110
15-01-2018 13:00,0.73086,7.7195,593.964,8.006,5.082,121.968
15-01-2018 14:00,0.73086,8.0471,590.079,7.783,5.172,124.139
15-01-2018 15:00,0.73086,8.3624,561.486,7.494,5.143,123.428
15-01-2018 16:00,0.73086,8.3125,560.461,8.054,5.118,122.825
15-01-2018 17:00,0.73086,11.0653,548.579,8.116,5.797,139.137
15-01-2018 18:00,0.73086,15.3298,517.234,8.001,6.643,159.427
15-01-2018 19:00,0.73086,15.6098,514.562,8.093,6.684,160.420
15-01-2018 20:00,0.73086,16.1237,525.922,7.992,6.867,164.804
15-01-2018 21:00,0.73086,15.9854,535.386,7.759,6.907,165.760
15-01-2018 22:00,0.73086,16.0901,526.934,7.599,6.874,164.982
15-01-2018 23:00,0.73086,16.0158,518.806,7.725,6.798,163.144
16-01-2018 00:00,0.73086,10.0497,530.277,7.506,5.418,130.037
16-01-2018 01:00,0.73086,9.4632,551.384,7.837,5.412,129.888
16-01-2018 02:00,0.73086,8.7374,571.201,7.856,5.299,127.167
16-01-2018 03:00,0.73086,8.7433,564.043,7.873,5.266,126.392
